version,category,case_id,image_path,mask_path,width,height,threshold_percent,tp,fp,fn,tn,mIoU_percent,mDice_percent,background_IoU_percent,background_Dice_percent,forgery_IoU_percent,forgery_Dice_percent,accuracy_percent,false_positive_rate_percent,det_score,det_pred_label,det_correct
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_49.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_49.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_49.jpg_tif.png,500,652,50.0,67707,1707,167,256419,98.290602,99.13545,99.274467,99.635913,97.306736,98.634986,99.425153,0.661305,,,
v1.0.6,imd2020,imd2020/tp_imd2020_00064_fake_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_00064_fake_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_00064_fake_jpg.png,699,451,50.0,0,0,101044,214205,33.973938,40.457717,67.947876,80.915434,0.0,0.0,67.947876,0.0,,,
v1.0.6,imd2020,imd2020/tp_imd2020_00097_fake_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_00097_fake_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_00097_fake_jpg.png,383,274,50.0,1538,63319,689,39396,20.222775,29.880883,38.099106,55.176471,2.346444,4.585296,39.006308,61.645329,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8u0rrz_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8u0rrz_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8u0rrz_0_jpg.png,620,464,50.0,8069,116,24954,254541,57.691463,67.234439,91.033972,95.306579,24.348954,39.162299,91.285456,0.045551,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8u4gpd_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8u4gpd_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8u4gpd_0_jpg.png,501,409,50.0,0,0,130809,74100,18.081197,26.558283,36.162394,53.116566,0.0,0.0,36.162394,0.0,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8vgphr_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8vgphr_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8vgphr_0_jpg.png,375,500,50.0,0,0,9457,178043,47.478133,48.706445,94.956267,97.41289,0.0,0.0,94.956267,0.0,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8vkf28_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8vkf28_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8vkf28_0_jpg.png,1200,750,50.0,14668,754,11721,872857,76.31532,84.726909,98.590924,99.290463,54.039716,70.163354,98.613889,0.086308,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8vpmfd_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8vpmfd_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8vpmfd_0_jpg.png,1920,1200,50.0,40405,24390,3044,2236161,79.174085,87.022865,98.788034,99.390322,59.560135,74.655408,98.809288,1.07894,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8vqeqw_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8vqeqw_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8vqeqw_0_jpg.png,1920,1200,50.0,29820,21269,1170,2251741,78.037628,86.082958,99.013315,99.504211,57.061941,72.661704,99.026085,0.93572,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8w0r2r_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8w0r2r_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8w0r2r_0_jpg.png,1120,629,50.0,65910,14340,67388,556842,65.922191,77.445852,87.201403,93.163194,44.642978,61.728511,88.398819,2.510583,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8wvegs_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8wvegs_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8wvegs_0_jpg.png,953,953,50.0,0,6,3977,904226,49.780722,49.89012,99.561445,99.78024,0.0,0.0,99.561445,0.000664,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8xhzdr_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8xhzdr_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8xhzdr_0_jpg.png,650,366,50.0,4374,631,567,232328,88.993318,93.848897,99.486995,99.742838,78.499641,87.954957,99.496427,0.270863,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8xtrds_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8xtrds_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8xtrds_0_jpg.png,444,644,50.0,13272,2632,167,269865,90.778499,94.97259,98.973462,99.484083,82.583536,90.461098,99.02111,0.965882,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8yjv4u_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8yjv4u_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8yjv4u_0_jpg.png,549,732,50.0,13709,6054,315,381790,83.318945,90.161178,98.359178,99.172802,68.278713,81.149555,98.415151,1.560937,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8ynnae_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8ynnae_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8ynnae_0_jpg.png,453,604,50.0,5196,1685,0,266731,87.442262,92.866496,99.372243,99.685133,75.51228,86.04786,99.384164,0.627757,,,
v1.0.6,imd2020,imd2020/tp_imd2020_c8zefoe_0_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/images/test/tp_imd2020_c8zefoe_0_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/imd2020/annotations/test/tp_imd2020_c8zefoe_0_jpg.png,1200,704,50.0,358,8194,43438,792810,47.28713,49.107096,93.885667,96.846423,0.688594,1.36777,93.888258,1.022966,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000000943_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000000943_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000000943_tif.png,640,360,50.0,3,0,15769,214628,46.587374,48.247319,93.155727,96.456604,0.019021,0.038035,93.155816,0.0,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000001596_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000001596_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000001596_tif.png,500,419,50.0,0,0,1124,208376,49.731742,49.86551,99.463484,99.731021,0.0,0.0,99.463484,0.0,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000002614_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000002614_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000002614_tif.png,640,427,50.0,9229,5056,1005,257990,79.032161,87.059687,97.70461,98.83898,60.359712,75.280395,97.782128,1.922097,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000003488_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000003488_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000003488_tif.png,500,333,50.0,1110,197,32,165161,91.379612,95.289983,99.861539,99.930722,82.897685,90.649245,99.862462,0.119135,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000005210_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000005210_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000005210_tif.png,640,426,50.0,0,3,274,272363,49.9492,49.974587,99.898401,99.949175,0.0,0.0,99.898401,0.001101,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000005699_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000005699_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000005699_tif.png,600,400,50.0,0,0,480,239520,49.9,49.94995,99.8,99.8999,0.0,0.0,99.8,0.0,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000008119_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000008119_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000008119_tif.png,640,480,50.0,0,0,320,306880,49.947917,49.973945,99.895833,99.94789,0.0,0.0,99.895833,0.0,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000009960_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000009960_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000009960_tif.png,640,427,50.0,0,0,454,272826,49.916935,49.958433,99.83387,99.916866,0.0,0.0,99.83387,0.0,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000010779_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000010779_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000010779_tif.png,532,640,50.0,15273,178,3848,321181,88.950417,93.865946,98.762019,99.377154,79.138815,88.354738,98.817552,0.05539,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000011075_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000011075_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000011075_tif.png,640,480,50.0,88932,2676,1578,214014,96.742978,98.340036,98.05102,99.01592,95.434937,97.664152,98.615234,1.234944,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000011831_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000011831_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000011831_tif.png,640,427,50.0,0,0,2658,270622,49.513686,49.755655,99.027371,99.511309,0.0,0.0,99.027371,0.0,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000012927_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000012927_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000012927_tif.png,640,425,50.0,6526,2382,2444,260648,77.834893,86.044326,98.18212,99.082722,57.487667,73.005929,98.225735,0.9056,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000016359_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000016359_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000016359_tif.png,640,383,50.0,2847,76,3366,238831,71.924403,80.804715,98.579289,99.284562,45.269518,62.324869,98.59579,0.031812,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000017474_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000017474_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000017474_tif.png,640,427,50.0,0,0,256,273024,49.953162,49.97657,99.906323,99.95314,0.0,0.0,99.906323,0.0,,,
v1.0.6,inpainting,inpainting/tp_inpaint_0_000000018290_tif,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/images/test/tp_inpaint_0_000000018290_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/inpainting/annotations/test/tp_inpaint_0_000000018290_tif.png,640,379,50.0,162,70,272,242056,66.000883,74.289027,99.85891,99.929405,32.142857,48.648649,99.859004,0.028911,,,
v1.0.6,splicing,splicing/tp_splice1_10007_000000130973_tif,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/images/test/tp_splice1_10007_000000130973_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/annotations/test/tp_splice1_10007_000000130973_tif.png,640,427,50.0,3444,382,690,268764,87.93245,93.166814,99.602722,99.800965,76.262179,86.532663,99.607728,0.14193,,,
v1.0.6,splicing,splicing/tp_splice1_10046_000000517430_tif,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/images/test/tp_splice1_10046_000000517430_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/annotations/test/tp_splice1_10046_000000517430_tif.png,640,480,50.0,258,1,341,306600,71.444289,80.042059,99.888578,99.944258,43.0,60.13986,99.888672,0.000326,,,
v1.0.6,splicing,splicing/tp_splice1_10059_000000578306_tif,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/images/test/tp_splice1_10059_000000578306_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/annotations/test/tp_splice1_10059_000000578306_tif.png,640,427,50.0,1470,1675,209,269926,71.567567,80.298751,99.306869,99.652229,43.828265,60.945274,99.310597,0.616713,,,
v1.0.6,splicing,splicing/tp_splice1_10102_000000389655_tif,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/images/test/tp_splice1_10102_000000389655_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/annotations/test/tp_splice1_10102_000000389655_tif.png,640,428,50.0,5284,307,180,268149,95.689984,97.752014,99.818714,99.909275,91.561255,95.594754,99.822211,0.114358,,,
v1.0.6,splicing,splicing/tp_splice1_10147_000000365623_tif,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/images/test/tp_splice1_10147_000000365623_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/annotations/test/tp_splice1_10147_000000365623_tif.png,640,480,50.0,8900,490,125,297685,96.665176,98.27857,99.793832,99.896809,93.536521,96.660331,99.799805,0.164333,,,
v1.0.6,splicing,splicing/tp_splice1_10176_000000008547_tif,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/images/test/tp_splice1_10176_000000008547_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/annotations/test/tp_splice1_10176_000000008547_tif.png,640,419,50.0,2530,145,122,265363,95.176771,97.468757,99.899484,99.949717,90.454058,94.987798,99.900433,0.054612,,,
v1.0.6,splicing,splicing/tp_splice1_10267_000000553552_tif,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/images/test/tp_splice1_10267_000000553552_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/splicing/annotations/test/tp_splice1_10267_000000553552_tif.png,640,430,50.0,1502,287,96,273315,89.770881,94.311021,99.860065,99.929983,79.681698,88.692058,99.860828,0.104897,,,
